Plot	Block	Plant	Genotype	Merito	PMV
4_22	4	22	25	2	3.40
4_23	4	23	153	2	2.90
4_24	4	24	T2	3	3.60
4_25	4	25	26	3	4.30
4_26	4	26	221	2	4.20
4_27	4	27	95	2	5.50
4_28	4	28	92	2	3.30
4_29	4	29	106	2	2.00
4_30	4	30	57	2	4.50
4_31	4	31	93	2	1.90
4_32	4	32	129	2	2.20
4_33	4	33	208	2	4.70
4_34	4	34	74	2	4.10
4_35	4	35	48	2	5.50
4_36	4	36	167	2	4.90
4_37	4	37	215	4	4.20
4_38	4	38	32	3	3.70
4_39	4	39	180	1	1.80
4_40	4	40	209	3	2.80
4_41	4	41	T1	3	6.90
4_42	4	42	207	2	2.60
4_43	4	43	184	2	2.70
4_44	4	44	87	4	4.40
4_45	4	45	219	4	3.40
5_1	5	1	36	2	1.80
5_2	5	2	3	3	2.40
5_3	5	3	T1	3	7.00
5_4	5	4	202	3	3.90
5_5	5	5	15	4	3.30
5_6	5	6	175	3	2.00
5_7	5	7	125	2	3.20
5_8	5	8	177	2	4.20
5_9	5	9	139	3	3.50
5_10	5	10	8	3	4.20
5_11	5	11	111	3	6.20
5_12	5	12	143	1	0.80
5_13	5	13	16	3	6.50
5_14	5	14	6	2	2.40
5_15	5	15	56	2	3.90
5_16	5	16	147	2	3.80
5_17	5	17	130	2	3.90
5_18	5	18	152	2	3.00
5_19	5	19	149	2	0.80
5_20	5	20	17	2	5.20
5_21	5	21	217	3	4.60
5_22	5	22	220	2	2.00
5_23	5	23	30	3	4.40
5_24	5	24	201	2	3.00
5_25	5	25	102	3	5.00
5_26	5	26	38	2	3.40
5_27	5	27	96	2	2.70
5_28	5	28	117	1	2.30
5_29	5	29	157	3	5.10
5_30	5	30	173	2	3.60
5_31	5	31	86	3	3.30
5_32	5	32	121	3	2.40
5_33	5	33	145	2	1.30
5_34	5	34	163	3	3.30
5_35	5	35	131	1	1.50
5_36	5	36	80	3	4.80
5_37	5	37	T3	4	4.50
5_38	5	38	109	2	3.40
5_39	5	39	43	4	2.20
5_40	5	40	116	2	3.80
5_41	5	41	T2	4	2.80
5_42	5	42	83	4	3.30
5_43	5	43	41	2	3.40
5_44	5	44	105	2	4.00
5_45	5	45	47	4	3.40
